Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Acquired though the generosity of Barbara Wise,2,,,,2
Acquired through the generosity of Agnes Gund,,1,,,1
"Acquired through the generosity of Agnes Gund, Mr. and Mrs. James R. Hedges, IV, Jo Carole and Ronald S. Lauder and the Committee on Drawings",,1,,,1
Acquired through the generosity of Barbara Sahlman,1,2,,,3
Acquired through the generosity of Barbara Wise,2,1,,,3
Acquired through the generosity of Edward and Evanne Gargiulo,1,,,,1
Acquired through the generosity of Frederieke Taylor,4,,,,4
Acquired through the generosity of Jo Carole and Ronald S. Lauder,1,2,,,3
Acquired through the generosity of Marian and James H. Cohen in memory of Andrew Golkin,1,,,,1
"Acquired through the generosity of Nelson Blitz, Jr. with Catherine Woodard and Perri and Allison Blitz in honor of Riva Castleman",,1,,,1
Acquired through the Lillie P. Bliss Bequest,,1,,,1
Acquisition from Werner and Elaine Dannheisser,,1,,,1
Agnes Rindge Claflin Fund,,1,,,1
Anonymous fractional and promised gift,,1,,,1
Anonymously given,,7,,,7
Barcelona Pavilion Replacement Fund,,1,,,1
Carl Jacobs Fund,,6,,,6
Circulating Film & Video Library,1,,,,1
Committee on Painting and Sculpture Funds,,1,,,1
David Whitney Collection and gift of the manufacturer,,4,,,4
"David Whitney Collection, Gift of David Whitney",,67,,,67
"David Whitney Collection, Gift of the manufacturer",,1,,,1
E.T. Harmax Foundation Fund,1,6,,,7
Estée and Joseph Lauder Design Fund,,1,,,1
"Fractional and promised gift of Donald L. Bryant, Jr.",1,,,,1
Fractional and promised gift of Jo Carole and Ronald S. Lauder,,1,,,1
"Fractional and promised gift of Jo Carole and Ronald S. Lauder 
",,1,,,1
Fractional and promised gift of Marie-Josée and Henry R. Kravis,,1,,,1
Frances Keech Fund,,7,,,7
Friends of the Department Fund,,1,,,1
General Drawings Fund,,3,,,3
Gift of Agnes Gund,1,,,,1
Gift of Agnes Gund and Daniel Shapiro,,10,,,10
"Gift of Agnes Gund, Jo Carole and Ronald S. Lauder, Donald L. Bryant, Jr., Leon Black, Michael and Judy Ovitz, Anna Marie and Robert F. Shapiro, Leila and Melville Straus, Doris and Donald Fisher, and purchase",,1,,,1
Gift of Alice and Leslie Schreyer,,1,,,1
Gift of an anonymous donor in honor of the artist,1,,,,1
Gift of Anna Marie and Robert F. Shapiro,,18,,,18
"Gift of Barbara Jakobson, Robert and Joyce Menschel and the Peter Norton Family Foundation",,1,,,1
"Gift of Clark B. Winter, Jr.",1,,,,1
Gift of David Teiger,1,,,,1
Gift of Dean Valentine and Amy Adelson,1,,,,1
Gift of Elaine Lustig Cohen,,1,,,1
Gift of Elise Jaffe + Jeffrey Brown,,1,,,1
"Gift of Ellen Kern and Gail Garlick in memory of their parents, Jewel and Lewis Garlick",,1,,,1
Gift of Emily Carroll and Thomas W. Weisel,,1,,,1
Gift of Emily Fisher Landau,1,18,,,19
Gift of Flat Black Films,,1,,,1
Gift of Frederic Clay Bartlett (by exchange),,1,,,1
Gift of Holly Solomon,,1,,,1
Gift of Jack Banning,,2,,,2
"Gift of James and Katherine Goodman, New York",,2,,,2
Gift of Jan Christiaan Braun in honor of Agnes Gund,,1,,,1
Gift of Janice Oresman,,1,,,1
Gift of Jo Carole and Ronald S. Lauder,1,1,,,2
Gift of Josef Müller-Brockmann,,,1,,1
Gift of Joyce Pomeroy Schwartz,,2,,,2
Gift of Juan Vergez,1,,,,1
Gift of Karsten Schubert,2,,,,2
Gift of Katy Homans and Patterson Sims,,5,,,5
"Gift of Mark McDonald, Jeffrey P. Klein Purchase Fund and John C. Waddell Purchase Fund",,1,,,1
Gift of Marshall S. Cogan in honor of Barbara Jakobson,,1,,,1
Gift of Milton Scheingarten,,15,,,15
Gift of Milton Sheingarten,,4,,,4
Gift of Mr. and Mrs. James R. Hedges IV,1,,,,1
"Gift of Olivetti, S.p.A",,1,,,1
Gift of Paola Antonelli,,1,,,1
Gift of Patricia and Morris Orden,4,,,,4
"Gift of Patricia and Morris Orden, New York",1,1,,,2
Gift of Patricia Phelps de Cisneros in memory of Marcantônio Vilaça,1,,,,1
Gift of Philip Johnson,1,,,,1
Gift of Rob Beyer,,1,,,1
Gift of Robert and Joyce Menschel,,1,,,1
Gift of Ron Krueck,,7,,,7
Gift of Sarah-Ann and Werner H. Kramarsky,,3,,,3
Gift of Sid and Mercedes Bass,,1,,,1
Gift of Steven Johnson and Walter Sudol,1,,,,1
Gift of Susan and Peter MacGill,,4,,,4
Gift of the artist,43,29,,,72
Gift of the designer,7,121,8,,136
Gift of the Friends of Contemporary Drawing,,11,,,11
Gift of The Howard Gilman Foundation,,80,,,80
Gift of The Ian Woodner Family Collection,,114,,,114
"Gift of the Jerome Foundation in honor of its founder, Jerome Hill",3,10,,,13
"Gift of The Lauder Foundation, Leonard and Evelyn Lauder Fund",,1,,,1
Gift of the manufacturer,3,17,4,,24
"Gift of the manufacturer, Gift of David Whitney",,1,,,1
Gift of the Mexican Cultural Institute,10,,,,10
Gift of the Oiticica Family,,1,,,1
Gift of the Peter Norton Family Foundation,1,1,,,2
Gift of the photographer,1,6,,,7
Gift of the photographer in memory of Elizabeth Ann McElaney,,1,,,1
Gift of the Swiss Office for the Development of Trade,,1,,,1
Gift of Thea Westreich and Ethan Wagner in honor of Gary Garrels,,1,,,1
"Gift of Timothy Baum in memory of Harry H. Lunn, Jr.",,1,,,1
Given anonymously,,,5,,5
Howard B. Johnson Fund,1,,,,1
Jacqueline Brody Fund,2,6,,,8
Joanne M. Stern Fund,1,,,,1
"John B. Tuner Fund and Eugene Mercy, Jr. Fund",,1,,,1
John B. Turner Fund,,5,,,5
"John B. Turner Fund and Eugene Mercy, Jr. Fund",,1,,,1
Lee and Ann Fensterstock Fund,1,,,,1
Linda Barth Goldstein Fund,1,1,,,2
Lita Hornick Bequest,,1,,,1
Melva Bucksbaum Purchase Fund,,1,,,1
"Melva Bucksbaum Purchase Fund, David Rockefeller Jr. Fund, and Andrew Cogan Purchase Fund",,2,,,2
Monroe Wheeler Fund,17,11,,,28
Mrs. Gianluigi Gabetti Purchase Fund,8,1,,,9
Mrs. John Hay Whitney Bequest Fund,1,,,,1
Patricia Bonfield Fund,,1,,,1
Phyllis B. Lambert Fund,,1,,,1
Purchase,29,874,2,,905
Purchase from the Artist. Purchase funds provided by The Jerome Foundation,1,,,,1
"Purchased with funds given by Agnes Gund, Mr. and Mrs. James R. Hedges IV, Jo Carole and Ronald S. Lauder, and the General Drawings Fund",,2,,,2
"Purchased with funds given by Agnes Gund, Mr. and Mrs. James R. Hedges, IV, Jo Carole and Ronald S. Lauder and the General Drawings Fund",,6,,,6
Purchased with funds given by Francesca Danieli and Gary Gensler,,1,,,1
"Purchased with funds provided by Kathy and Richard S. Fuld, Jr., Jo Carole and Ronald S. Lauder, Thomas Weisel, Agnes Gund, Sarah-Ann and Werner H. Kramarsky, and gift of The Sidney and Harriet Janis Collection (by exchange)
",,1,,,1
"Purchased with funds provided by Marlene Hess, Clay Barr, Pam and James Heller, Kenneth Kuchin, Leila and Melville Straus, Sylvia de Cuevas, Richard Anderman, and The Contemporary Arts Council",,1,,,1
Purchased with funds provided by Ninah and Michael Lynne,1,,,,1
Purchased with funds provided by Sarah-Ann and Werner H. Kramarsky,,3,,,3
"Purchased with funds provided by The Edward John Noble Foundation, The Herbert and Nanette Rothschild Fund, and Mrs. Pierre Matisse",,1,,,1
Rob Beyer Purchase Fund,,1,,,1
Robert and Anna Marie Shapiro Fund,,3,,,3
Rolf Fehlbaum Purchase Fund,,1,,,1
Roxanne H. Frank Fund,15,7,,,22
Scott Burton Fund,,4,,,4
Takeo Ohbayashi Purchase Fund,,1,,,1
The Family of Man Fund,1,1,,,2
The Karnig R. Najarian Memorial Fund,1,,,,1
"The Museum of Modern Art, New York",,2,,,2
The Ralph E. Shikes Fund,1,,,,1
Virginia Cowles Schroth Fund,22,,,,22
Walter Bareiss Fund,,1,,,1
(blank),,2,3,,5
2001,432,1997,752,,3181
Acquired from Rialto Pictures LLC,,1,,,1
"Acquired from the Artist
",,,1,,1
Acquired through the generosity of Elise Jaffe and Jeffrey Brown,,1,,,1
"Acquired through the generosity of Emily Fisher Landau, in honor of Gifford Phillipp's 80th birthday",1,,,,1
Acquired through the generosity of Howard Stein,2,1,123,,126
Acquired through the generosity of Mrs. Richard Savitt in honor of Anna Marie Shapiro,,10,,,10
Acquired through the generosity of Pierre N. Leval,,,2,,2
Acquired through the generosity of Ricki Conway,1,,,,1
Acquired through the generosity of The Friends of Education of The Museum of Modern Art and Marie-Josée Kravis,,1,,,1
Acquired through the generosity of The Junior Associates of The Museum of Modern Art,,1,,,1
Alexandra Herzan Fund,2,4,,,6
"Alexandra Herzan Fund
",,1,,,1
Andrew Cogan and Rob Beyer Purchase Funds,,28,,,28
Ann and Lee Fensterstock Fund and John B. Turner Fund,,1,,,1
Anna Marie and Robert F. Shapiro Fund,1,9,,,10
"Anonymous fund, Doris and Donald Fisher, Mimi and Peter Haas, and Emily Fisher Landau Funds",,2,,,2
Anonymous Gift,,13,,,13
Barbara Jakobson Purchase Fund,,1,,,1
Committee on Drawings Funds,1,,,,1
Committee on Painting and Sculpture Funds,1,,,,1
David Childs and Tracy Gardner Purchase Funds,,1,,,1
"David Childs, Tracy Gardner, Barbara Jakobson, and Jeffrey P. Klein Purchase Funds",,15,,,15
Dorothy Cullman Purchase Fund,,1,,,1
E.T. Harmax Foundation Fund,,16,,,16
Edward Larrabee Barnes and Wendy Evans Joseph Purchase Funds,,10,,,10
Emily and Jerry Spiegel and Anna Marie and Robert F. Shapiro Funds and gift of Agnes Gund,1,,,,1
Estée and Joseph Lauder Design Fund,1,,,,1
"Eugene Mercy, Jr. Fund, Riva Castleman Endowment Fund, and Louise Reinhardt Smith Bequest (by exchange)",,9,,,9
Fractional and promised gift of Adam Sender,,1,,,1
Fractional and promised gift of Barry Blumberg,,1,,,1
Fractional and promised gift of Dianne Wallace,,1,,,1
"Fractional and promised gift of Donald L. Bryant, Jr. in honor of Kirk Varnedoe",,1,,,1
Fractional and promised gift of Jennifer Stockman,,1,,,1
"Fractional and promised gift of Norman and Norah Stone, San Francisco",,1,,,1
Fractional and promised gift of Tony Ganz in memory of Victor and Sally Ganz,,5,,,5
Fractional gift of Mr. and Mrs. Donald G. Fisher in honor of Kirk Varnedoe,,1,,,1
Frederieke Taylor Purchase Fund,3,,,,3
Geraldine J. Murphy Fund,,1,,,1
Gift in memory of Hormoz Broumand,,1,,,1
Gift of Agnes Gund,1,1,,,2
Gift of Agnes Gund and Daniel Shapiro,4,8,,,12
Gift of Agnes Gund and Lewis B. Cullman in honor of Chess in the Schools,,1,,,1
Gift of Alan Siegel,21,,,,21
Gift of Alexandra Herzan,,3,,,3
Gift of Amy Baker Sandback,1,,,,1
Gift of an anonymous donor,,4,,,4
Gift of Anna Marie and Robert F. Shapiro,,1,,,1
Gift of Anna Roma,,11,,,11
Gift of Anthony and Linda Grant in memory of Elaine Dannheisser,,1,,,1
"Gift of April Gornik, Pegram Harrison, and Maurice Sanchez in memory of Karen McCready",1,,,,1
Gift of Beth Goldberg Nash and Joshua Nash,,55,,,55
"Gift of Bonniers, Inc.",,3,,,3
Gift of Business Committee for the Arts,,1,,,1
"Gift of Business Committee for the Arts, Inc.",,1,,,1
Gift of Carmen Bezerra Dias in memory of Theodorino Torquato Dias,,1,,,1
Gift of Carol and Arthur Goldberg,,35,,,35
Gift of Carol Sullivan,,1,,,1
Gift of Celia Asher,,1,,,1
Gift of Curt Marcus,,1,,,1
Gift of David Teiger,1,6,,,7
Gift of Dean Valentine and Amy Adelson,,1,,,1
"Gift of Donald L. Bryant, Jr., Barbara Foshay, Ricki Conway, Susan Jacoby, Jo Carole Lauder, Steven M. Bernstein, and Brook Berlind",1,,,,1
Gift of Doris Lockhart,,1,,,1
Gift of Dorothy Spears,,1,,,1
Gift of Edgar Smith,,2,,,2
Gift of Elizabeth Meyer Lorentz,,1,,,1
Gift of Emily Fisher Landau,8,26,,,34
Gift of Frank and Nina Moore in memory of Elaine Dannheisser,,1,,,1
Gift of Galerie Hauser & Wirth & Presenhuber,,2,,,2
Gift of George T. Shea and Gordon Locksley in memory of Marian and John Martin Shea,,1,,,1
"Gift of Hercules Rubens Barsotti, Sao Paulo",,2,,,2
Gift of Howard Karshan,,1,,,1
"Gift of Howard Karshan, Dorothy Spears and Martina Yamin",,1,,,1
Gift of Howard Stein,2,2,,,4
"Gift of Hudson, Feature Inc., New York",,1,,,1
Gift of Ingvild Goetz,,10,,,10
Gift of Jan Christiaan Braun,,1,,,1
Gift of Jan Christiaan Braun and Jo Carole and Ronald S. Lauder,,33,,,33
Gift of Jan Cowles,,1,,,1
Gift of Joshua Mack,,1,,,1
Gift of Katy Homans and Patterson Sims,,4,,,4
Gift of Laura Hoptman,,4,,,4
Gift of Lewis Baltz,,45,,,45
Gift of Linda Barth Goldstein,,1,,,1
Gift of Luisa Strina,,1,,,1
Gift of Luisa Strina in memory of Lydia and Ferdinando Strina,2,,,,2
"Gift of Lumex, Inc.",,4,,,4
Gift of Manfred Ludewig,,,1,,1
Gift of Marc A. Schwartz and Sarah C. Epstein Fund,,10,,,10
Gift of Mark Luca,,1,,,1
Gift of Marshall Cogan,,1,,,1
Gift of Marvin Heiferman,,2,7,,9
Gift of Michael Maiolino in memoriam of Sofia Gegner,1,,,,1
Gift of Musa and Tom Mayer,,1,,,1
Gift of Ninah and Michael Lynne,,1,,,1
"Gift of Oliver Kamm, Linda Kamm and Lisa Kamm",,1,,,1
Gift of Parkett,,,4,,4
Gift of Patricia and Morris Orden,5,,,,5
Gift of Patricia Phelps de Cisneros,1,1,,,2
Gift of Patricia Phelps de Cisneros in memory of Warren Lowry,1,,,,1
Gift of Paulo Herkenhoff,2,,,,2
Gift of Per Skarstedt,,1,,,1
Gift of Robert Storr in memory of Sally Ganz,,1,,,1
Gift of Sam Schwartz,,1,,,1
Gift of Sarah-Ann and Werner H. Kramarsky,4,15,,,19
Gift of Shirley and Donald Lombardi,,1,,,1
Gift of Susan Lorence in honor of Kirk Varnedoe,,1,,,1
Gift of Sylvio Nery da Fonseca Escritorio de Arte Ltd.,,2,,,2
Gift of the Architecture and Design Committee in honor of Marshall Cogan,,2,,,2
Gift of the artist,,1,,,1
Gift of the artist (by exchange),2,,,,2
Gift of the artist and Harlan & Weaver,1,,,,1
Gift of the artist and Harlan & Weaver Intaglio,3,,,,3
"Gift of the artist and Harlan & Weaver, New York",1,,,,1
Gift of the artist and Jack Shainman,1,,,,1
"Gift of the artist and purchased with funds provided by Jo Carole and Ronald S. Lauder, Sarah-Ann and Werner H. Kramarsky, Mr. and Mrs. James R. Hedges, IV, Kathy and Richard S. Fuld, Jr. and Committee on Drawings Funds",,40,,,40
Gift of the artist and the Department of Publications of The Museum of Modern Art,,1,,,1
Gift of the artist in memory of Marcantonio Vilaça,,1,,,1
Gift of the Associates of the Department of Prints and Illustrated Books,,6,,,6
"Gift of the Business Committee for the Arts, Inc.",,1,,,1
Gift of The Contemporary Arts Council of The Museum of Modern Art and the Jacqueline Brody Fund,,9,,,9
Gift of the designer,1,11,,,12
Gift of the designers,,,2,,2
Gift of the Estate of Robert Overby,,3,,,3
Gift of the Estate of William E. Hunt,,2,,,2
Gift of the Friends of Contemporary Drawing,11,3,,,14
Gift of the Japan Society,,2,,,2
Gift of the Jerry and Emily Spiegel Family Foundation in honor of Kirk Varnedoe,,1,,,1
"Gift of The Jerry and Emily Spiegel Family Foundation, Inc.",,1,,,1
Gift of The Judith Rothschild Foundation,148,484,179,,811
Gift of The Judith Rothschild Foundation (Anonymous donation),11,13,5,,29
Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),17,196,194,,407
Gift of The Judith Rothschild Foundation (Donation of Alex Rabinovich),1,3,1,,5
Gift of The Judith Rothschild Foundation (Donation of Elaine Lustig Cohen),1,7,1,,9
Gift of The Judith Rothschild Foundation (Donation of Galerie Gmurzynska),,4,,,4
Gift of The Judith Rothschild Foundation (Donation of Michael Sheehe),,1,,,1
Gift of The Judith Rothschild Foundation (Donation of Svetlana Aronov),,1,1,,2
Gift of The Judith Rothschild Foundation (Donation of Tamar Cohen and David Slatoff),4,6,7,,17
Gift of The Judith Rothschild Foundation (Donation of Ubu Gallery),,1,1,,2
Gift of The Judith Rothschild Foundation (Donation of Varvara Rodchenko),12,,1,,13
"Gift of The Judith Rothschild Foundation (Donation, in part, of Elaine Lustig Cohen in memory of Arthur A. Cohen)",,1,,,1
Gift of the manufacturer,2,79,12,,93
"Gift of the Peter Norton Family, in honor of the Friends of Education, 1998",1,,,,1
"Gift of the Richard Florsheim Art Fund, The Junior Associates of The Museum of Modern Art, Barbara Pine, and Joanne Stern",1,,,,1
Gift of the Robert D. Farber Foundation,,2,,,2
Gift of the Rodchenko family,,1,,,1
"Gift of The Roy and Niuta Titus Foundation, Inc. in memory of Niuta Slesin Titus",,1,,,1
"Gift of the supplier, Laufer AC, Germany",,,1,,1
Gift of the Young Print Collectors of The Museum of Modern Art,4,1,,,5
Gift of Thea Westreich and Ethan Wagner,,1,,,1
Gift of Timothy Baum in memory of Kurt and Arlette Seligmann,,1,,,1
Gift of Walter Sudol and Steven Johnson,1,4,,,5
Gift of Wendy Larsen,,2,,,2
Gift of William S. Rubin,,1,,,1
Gift of Wysse Feininger in memory of her husband Andreas,,3,,,3
Given anonymously,2,30,4,,36
Howard B. Johnson Fund,1,,,,1
Howard Johnson Fund,6,,,,6
Jacqueline Brody Fund,,1,,,1
Johanna and Leslie J. Garfield Fund and The Philip and Lynn Straus Foundation Fund,,1,,,1
John B. Turner Fund,,12,,,12
John Parkinson III Fund,,1,,,1
Katsko Suzuki Memorial Fund,,4,,,4
Lily Auchincloss Fund,,5,,,5
Linda Barth Goldstein Fund,1,4,,,5
Mary Ellen Meehan Fund,19,14,,,33
Mies van der Rohe Archive Fund,,1,,,1
Miranda Kaiser Fund,,1,,,1
Monroe Wheeler Fund,,3,,,3
Nina and Gordon Bunshaft Bequest Fund,,2,,,2
"Nina and Gordon Bunshaft Bequest Fund, Blanchette Hooker Rockefeller Fund (by exchange) and the Committee on Painting and Sculpture Fund",,1,,,1
"Nina and Gordon Bunshaft Bequest, Mrs. John Hay Whitney Bequest, and Donald B. Marron Funds",,1,,,1
"Patricia Phelps de Cisneros, Emily Rauh Pulitzer and Richard S. Zeisler Funds",,2,,,2
Purchase,38,101,1,,140
Purchase and partial gift of Achim Moeller in memory of Paul Cummings,,1,,,1
Purchase and partial gift of Stephen Robert,,1,,,1
Purchase from the Artist. Purchase funds provided by The Jerome Foundation,,1,,,1
Purchased with funds given by Francesca Danieli and Gary Gensler,,1,,,1
Purchased with funds given by Susan G. Jacoby in honor of her mother Marjorie L. Goldberger,,1,,,1
Purchased with funds given by The Cowles Charitable Trust,,1,,,1
Purchased with funds provided by Agnes Gund,2,,,,2
Purchased with funds provided by Barbara G. Pine,,1,,,1
Purchased with funds provided by Jo Carole and Ronald S. Lauder,,1,,,1
Purchased with funds provided by Mildred Rendl- Marcus,,1,,,1
Purchased with funds provided by The Edward John Noble Foundation,,6,,,6
Purchased with funds provided by the Friends of Contemporary Drawing,1,6,,,7
Purchased with funds provided by Yolanda Santos,,1,,,1
"Purchased with proceeds from the 2000  ""Clue II"" event sponsored by The Junior Associates of The Museum of Modern Art",1,,,,1
"Purchased with proceeds from the 2000 ""Clue II"" event sponsored by The Junior Associates of The Museum of Modern Art",1,5,,,6
"Purchased with proceeds from the 2000 ""Clue"" event sponsored by The Junior Associates of The Museum of Modern Art",,1,,,1
Richard S. Zeisler Purchase Fund,,1,,,1
Riva Castleman Endowment Fund and the Friends of Education Fund,,1,,,1
Rob Beyer Purchase Fund,,1,,,1
Roxanne H. Frank Fund,1,3,,,4
Takeo Ohbayashi Purchase Fund,,4,,,4
The Associates Fund,,30,,,30
The New York Times Collection,7,112,197,,316
"The Philip and Lynn Straus Foundation Fund, Scott Sassa Fund, Richard A. Epstein Fund, Miles O. Epstein Fund, Sarah C. Epstein Fund, Nelson Blitz, Jr. with Catherine Woodard and Perri and Allison Blitz, and Frances Keech Fund",,1,,,1
